IdAvaliacao;StatusPedido;NotaAvaliacao;PrecoProduto;Categoria;QuantidadeFotos;Peso;Comprimento;Altura;Largura;CidadeVendedor;DiasEnvio;DiasPrevistoEntrega
0016d2d10b5c26607549a29446578edf;delivered;4;12.990;moveis_decoracao;1;250;20;20;20;sao paulo;5;26
00340557e47d90c6c5ba1dc739de566c;delivered;5;29.900;telefonia;2;50;18;6;11;sao paulo;6;19
00416f56c25bff14d99acc7ab848828b;delivered;5;45.000;esporte_lazer;1;225;18;15;16;rio do sul;3;17
004344f0a4dd3cdffce1eb7910e47539;delivered;5;148.900;relogios_presentes;2;225;16;7;11;sumare;7;10
00464414d48a3c1bc10b0466ef965106;delivered;4;49.990;cama_mesa_banho;2;800;16;10;16;ibitinga;4;13
006aeabb2a1ff6d8074ecb4b56afd4d4;delivered;1;120.000;pet_shop;1;150;19;10;15;ouro fino;10;21
008f36f10ce42f1c0deec68c98513a62;delivered;5;49.000;informatica_acessorios;3;833;19;12;17;ribeirao preto;8;23
0090eb2a29946f932f1f7af8cbbcf9c0;delivered;5;239.990;relogios_presentes;2;4338;17;12;14;barueri;4;23
00cb74a19f4802054be1b6b29abc7750;delivered;3;19.870;telefonia;1;150;19;4;11;sao paulo;6;29
00e9867a7ff55be071785a37fe4ff363;delivered;5;39.900;brinquedos;3;200;16;8;11;sao paulo;4;15
0107408e6d7186ca191d7f9c86a68107;delivered;5;159.000;moveis_decoracao;3;3100;45;45;17;sao paulo;8;24
0142fa09cceabfd62863b7d57ce76be2;delivered;4;32.000;utilidades_domesticas;2;200;18;15;15;sao paulo;4;15
0149b75c624b9ab3875659ec920e8418;delivered;5;389.900;utilidades_domesticas;10;30000;60;60;60;limeira;4;22
016abaf45b39538eb415f80bbd0a15a4;delivered;5;109.900;relogios_presentes;1;396;18;11;14;guariba;8;22
01765b967e4c2d9b327f63e41168c7ba;delivered;5;699.990;NULL;;25800;34;84;54;rio de janeiro;7;11
018ae439c29d6c6fc8e84ce03f2ec379;delivered;4;269.000;informatica_acessorios;1;500;18;9;16;sao paulo;9;17
018f2a4679e0a7ec165b6f0a490e7b39;delivered;5;14.900;telefonia;2;150;27;5;20;sao paulo;10;25
01ae8f8e20afd6e6c225e4f8e2e9dca9;delivered;5;108.000;relogios_presentes;2;1000;53;8;18;rio de janeiro;7;17
01d40f25d3da0eef885f96f0d9a9bf6b;delivered;5;12.990;beleza_saude;1;150;16;4;16;ribeirao preto;4;16
0205393afbc83027fb5de6203a11cb15;delivered;4;89.900;brinquedos;2;400;20;10;20;sumare;7;20
0207b2ae6b4a45b992c944e69e1b8a75;delivered;5;124.900;beleza_saude;3;600;18;30;30;maua;5;14
021bc60ac6851b8940a93c3180958ce3;delivered;5;139.900;brinquedos;1;2444;45;22;41;sao paulo;4;15
022d6f108d50b7969fdf6c68d256c7ba;delivered;1;79.990;consoles_games;3;150;23;3;18;araguari;3;17
02458b01a713491f771cf60ad071ac3f;delivered;5;145.000;relogios_presentes;3;200;16;6;11;sao paulo;2;35
